,smiles,6vww_pocket108,name,6vww_pocket9,6vww_pocket100,6vww_pocket22,6vww_pocket154,6vww_pocket18,6vww_pocket57,6vww_pocket143,6vww_pocket3,6vww_pocket157,6vww_pocket37,6vww_pocket1,6vww_pocket13,6vww_pocket6,6vww_pocket17,6vww_pocket130,6vww_pocket23,6vww_pocket71,6vww_pocket62,6vww_pocket135,6vww_pocket11,6vww_pocket156,6vww_pocket8
10,O=C(O)CCCCCCCCCCCBr,5.81663990020752,DB-2142,6.171311378479004,7.550150871276855,5.791642189025879,5.028278350830078,7.24479866027832,7.2833662033081055,5.754098892211914,4.799358367919922,5.170049667358398,4.8525962829589835,5.089386940002441,7.265900611877441,7.36016845703125,7.410696029663086,6.004544258117676,5.6470794677734375,5.627667427062988,7.293698310852051,4.944319725036621,7.290337562561035,3.8448660373687744,5.061183452606201
11,CS(=O)(=O)OCCN(CCBr)c1c(C(=O)NCCOP(=O)(O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],4.405414581298828,DB-4752,4.533398151397705,7.584480285644531,2.48130464553833,3.3301868438720703,3.668712615966797,7.325912952423098,3.876650333404541,4.961423873901367,5.953610897064209,1.411168336868286,6.696398735046388,4.922421455383301,6.389657020568848,4.5658111572265625,3.294292449951172,3.0247206687927246,3.869826316833496,7.494497299194336,-0.0,5.046087741851807,3.107297420501709,5.996082305908202
12,O=CC(=O)CN=C(O)c1cc(N(CCBr)CCBr)c([N+](=O)[O-])cc1[N+](=O)[O-],5.348307132720947,DB-3761,5.012453556060791,9.001463890075684,4.479375839233398,3.391603708267212,5.63015604019165,8.968140602111816,5.304004669189453,4.428510665893555,6.02094030380249,2.9640412330627437,6.028091907501223,6.592205047607423,8.102621078491211,5.4871253967285165,2.9932098388671875,4.26684045791626,5.697260856628418,9.124104499816896,-0.0,5.448222160339356,3.1548938751220703,6.090659141540527
13,Cn1c(COP(=O)(NCCBr)NCCBr)cnc1[N+](=O)[O-],6.59733772277832,DB-4775,6.502932071685791,9.40064525604248,4.965623378753662,2.7763042449951167,5.4011268615722665,9.74079132080078,6.19572639465332,5.2382121086120605,5.7682762145996085,4.736564636230469,6.0128326416015625,8.17512321472168,8.227697372436522,6.21145486831665,4.920530319213867,5.479835510253906,6.332124710083008,9.301520347595217,-0.0,5.912522315979004,3.287604808807373,5.968520641326902
14,Nc1ccc(CC(=O)OCCBr)c(C=O)c1,5.7533464431762695,DB-6257,7.604668140411378,9.308405876159668,5.887746334075928,4.340682029724121,7.911226749420166,9.219464302062988,5.74785041809082,6.2669997215271,5.444652557373047,5.182288646697998,6.181906223297119,8.963001251220703,8.729883193969728,7.771572589874268,5.80769157409668,6.006082534790039,5.761075973510742,9.368155479431152,3.9213900566101074,7.7323365211486825,4.17316484451294,6.500397682189941
15,C[C@](O)(CBr)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,5.78985071182251,DB-5778,6.580988883972168,8.387424468994139,5.9928879737854,2.982903003692627,7.252224922180176,9.019022941589355,5.645622253417969,5.714461326599121,6.501941680908202,4.891135215759277,6.786490440368652,7.594992637634277,7.4848198890686035,8.453237533569336,5.068605422973633,6.183276653289795,5.51042366027832,8.981914520263672,1.6763879060745241,8.533697128295897,2.7358365058898926,6.475776672363281
16,C[C@](O)(CBr)CCO[P@@](=O)(O)OP(=O)(O)O,8.917816162109375,DB-3792,8.859941482543945,10.081131935119627,9.036328315734863,6.677847862243652,8.893531799316406,10.467981338500977,8.699758529663086,8.921270370483398,9.50981616973877,7.6819539070129395,9.12354850769043,10.305105209350586,9.810489654541016,8.68206787109375,8.371237754821777,9.250126838684082,8.858100891113281,10.4609375,5.6779375076293945,8.98704719543457,5.34846305847168,8.896400451660156
17,O[C@H](CBr)[C@H](O)[C@H](O)[C@@H](O)CBr,6.263211250305176,DB-8937,6.4623374938964835,8.793712615966799,6.5589094161987305,4.979848861694336,6.9122066497802725,8.876405715942383,5.9646759033203125,5.992124080657959,6.9683570861816415,6.298590660095215,6.813333511352539,8.000560760498049,8.470377922058105,6.986555099487305,5.9249444007873535,6.7664794921875,6.200031280517577,8.746801376342772,5.275727272033691,6.972294330596924,5.345534324645996,6.098196983337402
18,O[C@H](CBr)[C@@H](O)[C@H](O)[C@H](O)CBr,6.263211250305176,DB-9470,6.4623374938964835,8.793712615966799,6.5589094161987305,4.979848861694336,6.9122066497802725,8.876405715942383,5.9646759033203125,5.992124080657959,6.9683570861816415,6.298590660095215,6.813333511352539,8.000560760498049,8.470377922058105,6.986555099487305,5.9249444007873535,6.7664794921875,6.200031280517577,8.746801376342772,5.275727272033691,6.972294330596924,5.345534324645996,6.098196983337402
19,C[C@@](O)(CBr)CCOP(=O)(O)OP(=O)(O)O,8.917816162109375,DB-2212,8.859941482543945,10.081131935119627,9.036328315734863,6.677847862243652,8.893531799316406,10.467981338500977,8.699758529663086,8.921270370483398,9.50981616973877,7.6819539070129395,9.12354850769043,10.305105209350586,9.810489654541016,8.68206787109375,8.371237754821777,9.250126838684082,8.858100891113281,10.4609375,5.6779375076293945,8.98704719543457,5.34846305847168,8.896400451660156
