smiles,6vww_pocket108,6vww_pocket9,6vww_pocket100,6vww_pocket22,6vww_pocket154,6vww_pocket18,6vww_pocket57,6vww_pocket143,6vww_pocket3,6vww_pocket157,6vww_pocket37,6vww_pocket1,6vww_pocket13,6vww_pocket6,6vww_pocket17,6vww_pocket130,6vww_pocket23,6vww_pocket71,6vww_pocket62,6vww_pocket135,6vww_pocket11,6vww_pocket156,6vww_pocket8
Cc1nc(C2CCCN2C(=O)C(C)Cc2c(C)noc2C)no1,5.679880619049072,7.133955478668213,8.348141670227049,6.942588806152344,4.326535224914552,7.021908283233643,8.235522270202638,5.537620067596436,7.612029552459718,7.071938514709473,5.890995979309082,7.88268518447876,7.74316930770874,8.338584899902344,6.798364639282228,5.8498215675354,7.302853584289551,5.351393222808838,8.323463439941406,1.7098419666290283,7.00739860534668,3.043054819107056,7.924659252166747
O=C(NCCOc1ccc(Cl)cc1)c1cccc(S(=O)(=O)NCc2cccs2)c1,5.025124549865723,5.512365341186523,7.408402442932129,5.637509346008301,1.924777150154113,6.384864807128906,7.395816802978516,4.738420486450195,3.5141024589538574,3.2486951351165767,5.607216835021973,5.078105449676514,6.4271888732910165,7.080734729766848,7.959875583648682,4.872474670410156,5.3934526443481445,4.903759956359863,7.424530982971191,-0.0,6.58735990524292,2.3623666763305664,6.251160144805907
COc1cc(NC2CCN(CC3CCOC3)CC2)cc(OC)c1,5.3910088539123535,7.1028709411621085,8.06037712097168,5.693684101104736,3.4686205387115483,6.753975868225098,8.546677589416504,5.163553237915039,4.117265224456787,4.352753639221191,5.035811901092528,4.211195945739746,7.246392250061035,7.9686079025268555,8.019957542419434,5.587697505950928,5.258292675018311,4.973731994628906,8.857067108154297,3.3454070091247563,6.88471269607544,3.1050612926483154,4.2952609062194815
Cc1noc(C2CCCN(C(=O)c3nn(-c4ccccc4)c4c3CCC4)C2)n1,5.626301288604736,7.3451361656188965,9.401844024658203,5.932519912719728,2.664506435394287,8.416201591491701,8.64101505279541,5.6486430168151855,5.693385124206543,4.634979724884033,4.8344764709472665,5.988224983215332,8.284391403198242,8.135551452636719,8.468801498413086,7.683650970458982,5.936069488525393,5.145514965057373,9.110617637634276,-0.0,8.22032356262207,3.623997926712036,6.567028999328612
C[C@@H]1CCc2cccc(c2)C[C@@](C)(N)C(=O)OCc2cc(nc(N(C)S(C)(=O)=O)c2)CC1,4.191364765167236,6.379009246826173,6.460124492645264,2.93742299079895,0.9243317246437072,4.583896636962892,7.230111598968506,4.285684585571288,4.93649435043335,6.630634307861327,2.7397682666778564,5.6499061584472665,5.512795448303223,6.914091110229492,6.025208473205566,3.087101697921753,2.758406400680542,4.020519256591797,7.143054008483888,-0.0,5.769062519073486,1.5591577291488647,6.0018630027771
COc1ccc(C)cc1NS(=O)(=O)c1cccs1,5.549417018890381,7.563701629638673,9.310616493225098,7.093778610229492,4.764414310455322,6.815682888031006,9.607636451721193,5.417323589324951,6.758925437927246,6.380403518676758,6.21651554107666,6.694349765777588,8.392162322998049,8.248089790344237,7.112654685974121,5.59578800201416,7.380019187927246,5.565136909484863,9.583341598510742,2.069404125213623,7.630808353424072,4.8427042961120605,6.753162384033202
CN(CCCC(=O)Nc1ccc(CN2C(=O)CCC2=O)cc1)S(=O)(=O)c1cccs1,5.315549373626709,6.343677520751952,4.535336017608644,4.177077293395996,1.4485291242599487,6.077735900878906,8.198376655578612,5.051487445831299,0.6225666999816895,1.103629469871521,4.632884979248047,1.3737645149230957,8.200778961181639,6.903627395629883,7.0469841957092285,3.954200506210327,4.314778804779054,4.583512306213379,6.376047134399414,-0.0,5.389547824859619,0.7752813696861267,1.6431609392166138
Cc1ccc(Oc2ccccc2NC(=O)CCNC(=O)C23CC4CC(CC(C4)C2)C3)cc1,5.990057945251465,7.260828495025635,7.8325252532958975,4.5535616874694815,3.675604820251465,7.748673439025879,7.695063591003418,4.173542022705078,4.250333786010741,2.357567310333252,4.587806701660156,5.1209611892700195,7.952032089233397,7.382418632507324,7.5507612228393555,4.771049976348877,4.668716430664063,3.981804847717285,7.575618267059326,-0.0,7.797846794128418,3.74825382232666,5.3022780418396
Cc1ccccc1CN1CCC[C@H]1CO,5.299827098846436,8.222818374633789,9.230085372924805,5.882361888885497,4.170143127441406,7.293200016021728,9.371865272521973,5.302785873413086,5.9839067459106445,6.56909704208374,5.6778411865234375,6.350889682769775,8.631182670593263,8.898885726928711,7.09086799621582,5.7147579193115225,6.049949645996094,5.303003311157227,9.21918773651123,4.57489013671875,7.198352336883545,4.066754341125488,6.129288673400879
COc1cccc(-c2nnc(SC(C)C(=O)N(C)C)n2C)c1,4.9854278564453125,5.882149696350098,6.542397975921631,6.828062057495117,2.7835063934326167,6.870216369628906,7.954056262969973,5.237619400024414,5.122788906097412,5.024861812591553,6.014613628387451,6.229945182800293,6.702228546142577,6.689039707183838,6.7888832092285165,4.49998140335083,6.21135139465332,5.1725897789001465,7.4835357666015625,1.0484623908996582,6.782621383666992,3.4027826786041264,6.4138336181640625
Cc1nc(NC2CCCC2C(N)=O)c2c(C)csc2n1,5.635875225067139,7.975506782531737,11.03335189819336,7.0368289947509775,5.945721626281737,9.494852066040039,10.741464614868164,5.615536689758301,8.529471397399902,6.8991379737854,7.1210246086120605,8.777482986450195,8.964637756347656,9.950399398803713,9.520051956176758,6.613276481628418,7.062957763671875,5.528008937835693,11.036754608154297,2.377349853515625,9.454452514648438,5.940426349639893,8.630412101745605
Nc1cc2c(cc1[N+](=O)[O-])OCCCO2,5.211324214935303,6.16425371170044,7.876945495605469,5.446310520172119,3.5186524391174316,6.780627727508545,7.993368148803711,5.311495304107666,5.550260543823242,5.274192810058594,5.399058818817139,5.640625,6.954792499542236,7.515212059020996,6.802865982055664,5.881925582885742,5.238670349121094,5.293337821960449,7.9139084815979,2.841458797454834,6.694031715393066,3.613062620162964,5.663962364196777
CO[C@@H]1CC(c2ncc[nH]2)N(C(=O)c2cc(Cl)c3c(c2)OCO3)C1,5.450646877288818,8.817058563232422,8.833353996276855,7.290621757507324,4.362254142761231,8.629091262817383,8.892789840698242,5.5775885581970215,8.057193756103517,7.850392818450928,6.220181465148926,9.00719928741455,9.036367416381836,9.257131576538086,8.858514785766602,6.996420860290527,7.357388019561768,5.345098495483398,9.015626907348633,-0.0,8.725194931030272,4.799796104431152,9.180618286132812
